"no","id","context","sentence","intentionality","factivity","pictoriality","sense"
117,"JY0","W_fict_prose","  golden-haired. Not unlike Sara Calvert, and almost as pretty.' You can imagine how good they looked together,' said Penny, smiling at Juliet.'",0.869356137546688,1.45180108225928,1.35628885074141,"1-VIZUALIZE/PICTURE"
118,"K6T","S_interview_oral_history","  Yeah. (unclear) the the some of them made their own shrouds. (SP:PS5M6) I would imagine so. (SP:K6TPS000) Yeah. (SP:PS5M6) The shrouds (unclear) to be the suppliers you know",-2.20889537248183,1.45180108225928,-0.322647382359662,"2-THINK/BELIVE"
119,"CKC","W_fict_prose","  would appear that this Adamantios Andropulos, who is Hawkins's temporary guest-I could well imagine that Admiral Hawkins would use the term' guest' even if this unfortunate were",0.561530986543836,-0.682705048325456,-0.602470087876506,"3-SUPPOSE/ASSUME"
120,"H9M","W_commerce","  level of real output are determined. # 4.3 AGGREGATE DEMAND AND EQUILIBRIUM OUTPUT # Imagine that an economy's aggregate demand curve is AD in figure 4.4 and that its",0.869356137546688,-0.682705048325456,-0.882292793393351,"1-VIZUALIZE/PICTURE"
121,"J1G","W_email","  The attackers have got more experience, and probably quicker, but I can't imagine' Zico' has. Don't think he'd get much of a look-in",-1.90107022147898,0.841942187806502,-0.882292793393351,"2-THINK/BELIVE"
122,"K6Y","S_speech_unscripted","  I think everybody is. (SP:PS5N1) Sorry? (SP:PS5MU) I think everybody is. (SP:PS5N1) Yeah so imagine how you feel if you've got another two role plays to do and then",0.869356137546688,-0.987634495551847,-0.0428246768428166,"1-VIZUALIZE/PICTURE"
123,"J1G","W_email","  for replacements as he is resigned to losing Bardsley... not necessarily to Leeds Id imagine. Oh, for those who do nt know... Jobson is a centre back",-1.90107022147898,0.841942187806502,-0.882292793393351,"3-SUPPOSE/ASSUME"
124,"AHN","W_newsp_brdsht_nat_misc","  we'll come back to this view through the window a little later. I imagine that shortly after Bill and Ricky have arrived, the other guests will start coming",-1.59324507047613,-0.377775601099064,-0.0428246768428166,"2-THINK/BELIVE"
126,"K73","S_courtroom","  of course erm under G of article three doesn't it? (pause) which I imagine, but you can tell me if I'm wrong Mr (-----) is the one",-1.90107022147898,1.45180108225928,-0.882292793393351,"3-SUPPOSE/ASSUME"
127,"HE2","S_lect_humanities_arts","  somebody's personality, personality assassination by, by er a psychoanalysis. You could imagine what it's like. I mean, erm, if you didn't know",0.869356137546688,-0.987634495551847,-0.322647382359662,"1-VIZUALIZE/PICTURE"
128,"JJ7","S_unclassified","  's the problem. (SP:PS446) Well get somebody in, (SP:PS449) (unclear) (SP:PS446) Somebody who imagine they don't like it, Clare, in fact, you know. (SP:JJ7PSUNK)",-1.28541991947327,0.232083293353719,-0.882292793393351,"2-THINK/BELIVE"
129,"G02","W_fict_prose","  my eyes had made more sense of the place. While waiting I tried to imagine what she might have been thinking. For certain she would be hungry, like",0.869356137546688,-0.377775601099064,-0.322647382359662,"1-VIZUALIZE/PICTURE"
130,"HA4","W_fict_prose","  good looks, never seemed quite real to her. She found it difficult to imagine him getting something for supper.' FRYING TONIGHT. ROCK SALMON- SKATE PLAICE.",0.561530986543836,-0.987634495551847,1.35628885074141,"1-VIZUALIZE/PICTURE"
131,"A56","W_newsp_brdsht_nat_editorial","  , all at the same time. According to Lech Walesa, one can also imagine people exploding in sheer desperation -- tomorrow. Faced with this unprecedented, unique and",0.561530986543836,-0.377775601099064,1.07646614522456,"1-VIZUALIZE/PICTURE"
132,"B1X","W_fict_prose","  down by the side of the church, heading south towards Pimlico, trying to imagine how it had been on that September day all those years ago. The Dragoons",0.869356137546688,0.841942187806502,1.07646614522456,"1-VIZUALIZE/PICTURE"
133,"JXU","W_fict_prose","  too annoyed with Peter to want to prolong the call.' When do you imagine you'll get back?' she asked, tight-lipped.' As soon as",-1.90107022147898,-0.987634495551847,-1.1621154989102,"2-THINK/BELIVE"
134,"CFR","W_advert","  you advice on how to choose a carpet with a carefree, long life. Imagine dreaming in a beautifully carved bed of rich cherry wood. Its glowing looks have",0.869356137546688,-0.987634495551847,2.19575696729194,"1-VIZUALIZE/PICTURE"
135,"C9H","W_pop_lore","  playing at. Does that ring any bells?' Yeah, but you can imagine the problems that Gus would have at that time, and I could see why",0.561530986543836,-0.377775601099064,-0.602470087876506,"1-VIZUALIZE/PICTURE"
136,"A3P","W_newsp_brdsht_nat_misc","  . I'd seen the Himalayas in the autumn, so I was able to imagine them. On my previous visit, at dawn, the range had floated eerily",1.17718128854954,1.75673052948568,2.19575696729194,"1-VIZUALIZE/PICTURE"
137,"J17","W_fict_prose","  a gesture which the tape-recorder won't pick up, but which suggests, I imagine, impatience with pedantic nitpicking. All right -- you might be mistaken. Is",-1.90107022147898,1.14687163503289,-0.322647382359662,"2-THINK/BELIVE"
138,"H8S","W_fict_prose","  respectability, but it did make him seem less of a stranger. She could imagine herself mentioning it to her mother --' Oh, yes, Mum; that",0.869356137546688,-0.987634495551847,0.796643439707718,"1-VIZUALIZE/PICTURE"
139,"CDA","W_fict_prose","  currents up in the stratosphere which can move at anything up to 300 mph. Imagine a craft slipping in to one of those in excess of Mach 5 and it",0.869356137546688,-0.682705048325456,1.35628885074141,"1-VIZUALIZE/PICTURE"
